3540363472114241,2015-3-17,8492927412,Credit,56659.56
6759272118301264103,2012-11-18,9519893332,Credit,26291.93
36429136159109,2019-10-18,2866202212,Debit,28644.96
3581653311145707,2014-5-30,6864677794,Debit,83031.86
3565268670615271,2014-2-22,6605213898,Debit,50961.92
5020835646761347594,2013-10-29,4057066985,Debit,32647.13
3576043969221801,2018-3-18,1645817137,Debit,7748.75
3534036104032613,2012-11-17,5686387535,Credit,79367.86
3573899373746912,2019-1-31,2888122657,Credit,14377.92
5602225924216314,2017-11-29,1142743535,Credit,6622.58
5414897274414059,2017-1-23,3536032900,Debit,95241.24
4913686468698190,2011-5-20,3412270184,Credit,96859.39
6761582612422843,2010-10-3,6130102217,Debit,83133.34
3547207983212015,2013-3-26,6296292160,Debit,20608.93
5602224150935432,2020-1-12,9144253263,Debit,83504.86
374622789253498,2014-6-25,8213572779,Credit,54193.25
5602258398451935,2019-2-12,2199610131,Debit,35888.62
5461564577230655,2019-9-22,4520319840,Credit,8579.03
3534603596217265,2013-11-14,1087546907,Credit,95483.26
4917744210755465,2017-3-21,1012530705,Credit,86402.45
